10 - 1172.stp;;;;;;;;;;;;
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo;;
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;;;;;;;1615;9249.79016;9249797;;;
7;;;;;;;1608;9219.09485;9219100;;;
13;;;;;;;1611;9233.573321;9233573;;;
19;;;;;;;1608;9263.720926;9263717;;;
25;;;;;;;1602;9244.88;9244875;;;
2;;;;;;;1595;9247.908912;9247895;;;
8;;;;;;;1588;9250.837944;9250836;;;
14;;;;;;;1595;9148.250358;9148238;;;
20;;;;;;;1588;9256.981769;9256976;;;
26;;;;;;;1610;9227.74;9227743;;;
3;;;;;;;1592;9177.183487;9177186;;;
9;;;;;;;1598;9277.270679;9277275;;;
15;;;;;;;1592;9251.742849;9251739;;;
21;;;;;;;1598;9231.358686;9231366;;;
27;;;;;;;1610;9245.71;9245710;;;
4;;;;;;;1600;9298.51212;9298510;;;
10;;;;;;;1605;9195.781654;9195789;;;
16;;;;;;;1600;9291.60627;9291603;;;
22;;;;;;;1605;9233.097055;9233096;;;
28;;;;;;;1601;9236.82;9236824;;;
5;;;;;;;1603;9145.392766;9145398;;;
11;;;;;;;1602;9208.640822;9208632;;;
17;;;;;;;1603;9242.550925;9242559;;;
23;;;;;;;1602;9229.167865;9229174;;;
29;;;;;;;1579;9226.11;9226111;;;
6;;;;;;;1597;9283.557383;9283547;;;
12;;;;;;;1597;9252.123861;9252122;;;
18;;;;;;;1597;9273.508182;9273515;;;
24;;;;;;;1597;9224.667156;9224670;;;
30;;;;;;;1590;9240.32;9240318;;;
