SOLUÇÃO;;;;;;;;;;;;;;;
INSTÂNCIA;Best;Guloso;;Guloso Randomizado;;;;Guloso Randomizado Reativo;;;;;;ERRO PERCENTUAL;
;;RESULTADO;ERRO PERCENTUAL;MÉDIA;ERRO PERCENTUAL;MENOR;DESVIO PADRÃO PERCENTUAL;MÉDIA;ERRO PERCENTUAL;MENOR;DESVIO PADRÃO PERCENTUAL;;;MÉDIA;DESVIO PADRÃO PERCENTUAL
01 - 3271.stp;3171;3710;16.998%;3493.40;10.167%;3491;0.206%;3335.33;5.182%;3285;1.523%;;Guloso;33.910%;26.43%
02 - 23.stp;23;29;26.087%;25.00;8.696%;25;0.000%;23.70;3.043%;23;1.934%;;Guloso Randomizado;30.683%;48.16%
03 - 2338.stp;2338;2868;22.669%;2623.33;12.204%;2574;3.177%;2430.57;3.959%;2349;1.668%;;Guloso Randomizado Reativo;25.371%;59.65%
04 - 4003.stp;4003;5380;34.399%;4890.60;22.173%;4889;0.031%;4770.00;19.161%;4697;0.786%;;;;
05 - 342.stp;342;450;31.579%;474.13;38.635%;474;0.072%;446.80;30.643%;443;0.456%;;;;
06 - 575.stp;575;840;46.087%;821.33;42.841%;820;0.161%;808.57;40.620%;803;0.430%;;;;
07 - 59797.stp;59797;83897;40.303%;83010.93;38.821%;82976;0.124%;82202.97;37.470%;81943;0.250%;;;;
08 - 236949.stp;236949;334954;41.361%;333326.33;40.674%;333070;0.109%;331989.57;40.110%;331212;0.135%;;;;
09 - 121106.stp;121106;171957;41.989%;177388.37;46.474%;177196;0.090%;167306.63;38.149%;166456;0.259%;;;;
10 - 1172.stp;1172;1613;37.628%;1712.77;46.141%;1709;0.112%;1586.53;35.370%;1579;0.385%;;;;
;;;;;;;;;;;;;;;
TEMPO;;;;;;;;;;;;;;;
INSTÂNCIA;Guloso;;Guloso Randomizado;;Guloso Randomizado Reativo;;;;;;;;;;
;MÉDIA;DESVIO PADRÃO PERCENTUAL;MÉDIA;DESVIO PADRÃO PERCENTUAL;MÉDIA;DESVIO PADRÃO PERCENTUAL;;;;;;;;;
01 - 3271.stp;0.001;93.541%;0.006;28.435%;0.044;7.693%;;;;;;;;;
02 - 23.stp;0.001;71.558%;0.003;12.782%;0.032;4.131%;;;;;;;;;
03 - 2338.stp;0.000;42.962%;0.002;7.519%;0.050;6.468%;;;;;;;;;
04 - 4003.stp;0.001;81.650%;0.002;9.886%;0.045;7.245%;;;;;;;;;
05 - 342.stp;0.142;38.352%;3.868;37.897%;12.625;3.315%;;;;;;;;;
06 - 575.stp;0.187;40.224%;4.469;32.333%;7.264;1.610%;;;;;;;;;
07 - 59797.stp;0.157;37.939%;4.451;30.196%;13.723;2.346%;;;;;;;;;
08 - 236949.stp;3.846;23.010%;55.114;10.298%;1207.374;6.863%;;;;;;;;;
09 - 121106.stp;2.516;30.640%;23.477;9.957%;163.226;2.105%;;;;;;;;;
10 - 1172.stp;2.826;34.072%;19.654;8.191%;53.001;0.654%;;;;;;;;;
