03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;2868;0.001;1;2574;0.022;22;2356;0.763;763;2459;0.896;896
7;2868;0.001;1;2580;0.024;24;2373;0.794;794;2448;0.844;844
13;2868;0.001;1;2580;0.027;27;2356;0.78;780;2460;0.763;763
19;2868;0.001;1;2580;0.024;24;2463;0.784;784;2458;0.775;775
25;2868;0.001;1;2768;0.025;25;2455;0.806;806;2369;0.91;910
2;2868;0.003;3;2574;0.026;26;2381;0.752;752;2369;0.712;712
8;2868;0.001;1;2580;0.026;26;2465;0.792;792;2369;0.779;779
14;2868;0.001;1;2580;0.022;22;2370;0.759;759;2349;0.806;806
20;2868;0.001;1;2580;0.023;23;2464;0.738;738;2453;0.759;759
26;2868;0.001;1;2793;0.028;28;2458;0.787;787;2448;0.714;714
3;2868;0.001;1;2574;0.027;27;2356;0.757;757;2454;0.735;735
9;2868;0.001;1;2580;0.027;27;2472;0.802;802;2453;0.826;826
15;2868;0.001;1;2580;0.024;24;2356;0.771;771;2459;0.772;772
21;2868;0.001;1;2580;0.025;25;2363;0.791;791;2453;0.782;782
27;2868;0.001;1;2793;0.027;27;2356;0.809;809;2450;0.726;726
4;2868;0.001;1;2574;0.021;21;2453;0.773;773;2448;0.74;740
10;2868;0.001;1;2580;0.026;26;2457;0.78;780;2459;0.783;783
16;2868;0.001;1;2580;0.029;29;2369;0.817;817;2461;0.849;849
22;2868;0.001;1;2580;0.023;23;2457;0.742;742;2369;0.748;748
28;2868;0.002;2;2793;0.022;22;2453;0.841;841;2369;0.813;813
5;2868;0.001;1;2574;0.024;24;2471;0.767;767;2456;0.718;718
11;2868;0.001;1;2580;0.025;25;2373;0.768;768;2460;0.8;800
17;2868;0.001;1;2580;0.025;25;2470;0.773;773;2455;0.819;819
23;2868;0.001;1;2580;0.024;24;2456;0.746;746;2461;0.778;778
29;2868;0.001;1;2793;0.025;25;2365;0.764;764;2453;0.743;743
6;2868;0.001;1;2580;0.027;27;2456;0.761;761;2349;0.713;713
12;2868;0.001;1;2580;0.026;26;2554;0.766;766;2369;0.779;779
18;2868;0;0;2580;0.025;25;2456;0.762;762;2454;0.798;798
24;2868;0.001;1;2672;0.025;25;2375;0.724;724;2453;0.738;738
30;2868;0.002;2;2778;0.026;26;2459;0.781;781;2450;0.736;736
