Teste Busca Hashamostra: 30
n; tempo
0;4.66667e-07
10;3.33333e-06
20;7.96667e-06
30;1.34667e-05
40;2.17667e-05
50;2.82e-05
60;4.38e-05
70;4.33e-05
80;5.56333e-05
90;6.8e-05
100;9.57e-05
110;9.26667e-05
120;0.0001019
130;0.000109633
140;0.000132767
150;0.000141533
160;0.000156833
170;0.000186667
180;0.0002047
190;0.0002109
200;0.0002366
210;0.000262133
220;0.000282167
230;0.0002964
240;0.000334067
250;0.000381033
260;0.0003734
270;0.000413067
280;0.000559967
290;0.0004557
300;0.000501867
310;0.000522933
320;0.000554
330;0.000571233
340;0.0006092
350;0.0006365
360;0.0007586
370;0.0007246
380;0.0007989
390;0.000897333
400;0.000893833
410;0.000896467
420;0.000952
430;0.000981067
440;0.00109427
450;0.00106677
460;0.00113113
470;0.00119993
480;0.0011835
490;0.00127993
500;0.001279
510;0.0013214
520;0.00146447
530;0.001446
540;0.00149497
550;0.0015268
560;0.00157977
570;0.0020115
580;0.00380137
590;0.0039593
600;0.00407587
610;0.0059684
620;0.00441677
630;0.00438547
640;0.0045161
650;0.00475087
660;0.003328
670;0.002361
680;0.00232497
690;0.00235173
700;0.0041145
710;0.00254427
720;0.002672
730;0.00262267
740;0.0029606
750;0.00281797
760;0.0028869
770;0.00299867
780;0.00297957
790;0.00506207
800;0.00327857
810;0.00330493
820;0.0042428
830;0.00743037
840;0.0077264
850;0.00784527
860;0.00815793
870;0.0069135
880;0.00631883
890;0.00649957
900;0.00427583
910;0.00404203
920;0.00416077
930;0.0042066
940;0.00428963
950;0.00454607
960;0.0045765
970;0.0046244
980;0.0046975
990;0.00491493
1000;0.00483287
1010;0.00493153
1020;0.00506973
1030;0.00512033
1040;0.00521947
1050;0.00576503
1060;0.0054669
1070;0.00936777
1080;0.00959163
1090;0.0059949
1100;0.0058186
1110;0.010742
1120;0.0106947
1130;0.00633287
1140;0.0106871
1150;0.00648067
1160;0.00651843
1170;0.00658813
1180;0.0114065
1190;0.0116568
1200;0.011996
1210;0.00715787
1220;0.00718903
1230;0.007263
1240;0.00749707
1250;0.00779577
1260;0.00800017
1270;0.013292
1280;0.0138036
1290;0.0137477
1300;0.0140397
1310;0.0142976
1320;0.0087845
1330;0.0143578
1340;0.0147845
1350;0.00888177
1360;0.0151132
1370;0.00940363
1380;0.00905173
1390;0.00917947
1400;0.00966117
1410;0.0094481
1420;0.0164332
1430;0.0169314
1440;0.0171273
1450;0.0172785
1460;0.0175113
1470;0.0108086
1480;0.0177308
1490;0.0182299
1500;0.0109199
1510;0.0187776
1520;0.0191819
1530;0.0195464
1540;0.0199423
1550;0.0197091
1560;0.0199458
1570;0.0203286
1580;0.0121302
1590;0.0120184
1600;0.0123903
1610;0.0209347
1620;0.0216162
1630;0.0224091
1640;0.0321821
1650;0.029209
1660;0.0435637
1670;0.0298459
1680;0.0446018
1690;0.0456498
1700;0.031501
1710;0.0463035
1720;0.0316079
1730;0.031537
1740;0.0478776
1750;0.0330423
1760;0.0489994
1770;0.0503525
1780;0.0336244
1790;0.0341727
1800;0.0337797
1810;0.0523683
1820;0.0365807
1830;0.0354694
1840;0.0540932
1850;0.054737
1860;0.0368835
1870;0.0374178
1880;0.037858
1890;0.056403
1900;0.0382388
1910;0.0386414
1920;0.0385299
1930;0.0401563
1940;0.0393856
1950;0.0599644
1960;0.040839
1970;0.0617908
1980;0.0625307
1990;0.0631036
2000;0.0430698
2010;0.0639272
2020;0.043779
2030;0.0649111
2040;0.0671559
2050;0.0448087
2060;0.0667851
2070;0.0470381
2080;0.0687803
2090;0.046808
2100;0.0693735
2110;0.0716278
2120;0.0717221
2130;0.0723044
2140;0.049251
2150;0.0487498
2160;0.0492763
2170;0.0743499
2180;0.0756592
2190;0.0766191
2200;0.0774931
2210;0.0517502
2220;0.0780589
2230;0.0523954
2240;0.0788844
2250;0.0812244
2260;0.0538005
2270;0.0812458
2280;0.0828282
2290;0.0833313
2300;0.084497
2310;0.0854873
2320;0.0568624
2330;0.0852649
2340;0.0885435
2350;0.0591232
2360;0.0874419
2370;0.0898008
2380;0.0595647
2390;0.0906826
2400;0.0922583
2410;0.0612999
2420;0.09217
2430;0.0936864
2440;0.0634937
2450;0.0952138
2460;0.0959542
2470;0.0642957
2480;0.0992717
2490;0.0993982
2500;0.0655757
2510;0.0992421
2520;0.101681
2530;0.0671092
2540;0.101004
2550;0.102935
2560;0.0694434
2570;0.0684661
2580;0.105807
2590;0.0704728
2600;0.105977
2610;0.108311
2620;0.0745516
2630;0.109172
2640;0.110453
2650;0.0736918
2660;0.112081
2670;0.113254
2680;0.0753395
2690;0.113208
2700;0.0775134
2710;0.0756709
2720;0.116316
2730;0.120884
2740;0.0672902
2750;0.0605756
2760;0.0618859
2770;0.0366086
2780;0.0623958
2790;0.0637415
2800;0.0636922
2810;0.0641
2820;0.0647651
2830;0.0660181
2840;0.0656263
2850;0.0669476
2860;0.0663735
2870;0.0669881
2880;0.0672806
2890;0.0677262
2900;0.0690517
2910;0.0689876
2920;0.0694451
2930;0.0696258
2940;0.0701311
2950;0.0705664
2960;0.0712465
2970;0.0720728
2980;0.0722808
2990;0.0728664
3000;0.0733637
3010;0.0735844
3020;0.0744027
3030;0.0745432
3040;0.0757378
3050;0.0761058
3060;0.0759817
3070;0.0767845
3080;0.0769636
3090;0.0774471
3100;0.0785048
3110;0.0784495
3120;0.0799136
3130;0.0796492
3140;0.0799231
3150;0.0812863
3160;0.0809747
3170;0.0825809
3180;0.0821873
3190;0.0826835
3200;0.0833531
3210;0.0835236
3220;0.0850309
3230;0.0845307
3240;0.0850602
3250;0.0861665
3260;0.0862645
3270;0.0867858
3280;0.0875138
3290;0.0892687
3300;0.0885604
3310;0.0900964
3320;0.0894539
3330;0.0899413
3340;0.090535
3350;0.0908474
3360;0.0926455
3370;0.0921397
3380;0.0924977
3390;0.0932671
3400;0.0945347
3410;0.055146
3420;0.0937912
3430;0.0959824
3440;0.056084
3450;0.055856
3460;0.0955745
3470;0.0984864
3480;0.0573868
3490;0.0586981
3500;0.0978329
3510;0.0585191
3520;0.0991635
3530;0.0592836
3540;0.0580748
3550;0.0582555
3560;0.0585793
3570;0.101923
3580;0.133305
3590;0.137737
3600;0.202876
3610;0.136333
3620;0.134617
3630;0.134999
3640;0.207048
3650;0.140583
3660;0.209386
3670;0.140882
3680;0.139046
3690;0.143975
3700;0.213166
3710;0.144422
3720;0.218234
3730;0.145327
3740;0.144195
3750;0.14722
3760;0.220137
3770;0.151855
3780;0.224073
3790;0.149585
3800;0.147694
3810;0.150044
3820;0.228117
3830;0.152735
3840;0.231937
3850;0.154587
3860;0.233186
3870;0.156532
3880;0.234963
3890;0.158023
3900;0.239107
3910;0.16103
3920;0.242535
3930;0.161859
3940;0.241606
3950;0.164349
3960;0.245608
3970;0.167834
3980;0.2474
3990;0.165808
4000;0.163656
4010;0.164468
4020;0.252157
4030;0.175243
4040;0.256437
