Teste Busca Listaamostra: 30
n; tempo
0;2e-07
10;6.33333e-07
20;1.03333e-06
30;1.43333e-06
40;1.83333e-06
50;2.36667e-06
60;2.66667e-06
70;4.03333e-06
80;6.56667e-06
90;5.73333e-06
100;5.06667e-06
110;4.96667e-06
120;5.56667e-06
130;5.96667e-06
140;6.36667e-06
150;8.53333e-06
160;8.63333e-06
170;1.05667e-05
180;1.21e-05
190;9.46667e-06
200;1.18e-05
210;1.09333e-05
220;1.15e-05
230;1.21667e-05
240;1.32667e-05
250;1.39333e-05
260;1.44333e-05
270;1.5e-05
280;1.57667e-05
290;1.47333e-05
300;1.51667e-05
310;1.54333e-05
320;1.61e-05
330;1.62667e-05
340;1.66e-05
350;2.00333e-05
360;1.91333e-05
370;1.80667e-05
380;1.85e-05
390;1.93667e-05
400;1.96333e-05
410;1.98667e-05
420;2.04e-05
430;2.09e-05
440;2.24333e-05
450;2.16333e-05
460;2.22333e-05
470;2.25667e-05
480;2.40667e-05
490;2.61e-05
500;2.50667e-05
510;2.48e-05
520;2.52667e-05
530;2.52667e-05
540;2.59e-05
550;2.64333e-05
560;2.65333e-05
570;2.69e-05
580;2.75e-05
590;2.8e-05
600;2.86667e-05
610;2.92333e-05
620;2.93333e-05
630;2.99667e-05
640;3.03e-05
650;3.23333e-05
660;3.25e-05
670;3.32e-05
680;3.37667e-05
690;3.45333e-05
700;3.35667e-05
710;4.27667e-05
720;3.71667e-05
730;3.67e-05
740;3.49667e-05
750;3.62333e-05
760;3.47333e-05
770;3.79333e-05
780;3.75667e-05
790;3.89333e-05
800;4.02333e-05
810;3.81667e-05
820;3.99667e-05
830;4.00333e-05
840;4.07333e-05
850;4.18667e-05
860;4.07667e-05
870;4.15e-05
880;4.39667e-05
890;4.21333e-05
900;4.10667e-05
910;4.70333e-05
920;4.44e-05
930;4.48e-05
940;4.82e-05
950;4.45333e-05
960;4.46333e-05
970;4.39333e-05
980;5.21667e-05
990;4.66e-05
1000;5.12333e-05
1010;4.82e-05
1020;4.70667e-05
1030;5.06333e-05
1040;4.95333e-05
1050;5.10667e-05
1060;5.12e-05
1070;5.84333e-05
1080;5.10667e-05
1090;6.48333e-05
1100;6.7e-05
1110;5e-05
1120;5.36333e-05
1130;5.12333e-05
1140;5.38e-05
1150;5.4e-05
1160;5.40667e-05
1170;5.77e-05
1180;5.22333e-05
1190;5.56667e-05
1200;5.32333e-05
1210;5.91333e-05
1220;5.91667e-05
1230;5.93333e-05
1240;6.54667e-05
1250;6.45333e-05
1260;6.52667e-05
1270;5.92333e-05
1280;6.60667e-05
1290;5.82333e-05
1300;6.38e-05
1310;6.26333e-05
1320;6.31333e-05
1330;6.58333e-05
1340;6.45333e-05
1350;6.48667e-05
1360;6.84e-05
1370;7.41e-05
1380;6.50333e-05
1390;6.52e-05
1400;6.57e-05
1410;6.96e-05
1420;6.64333e-05
1430;6.65333e-05
1440;7.41e-05
1450;6.58333e-05
1460;6.96333e-05
1470;6.97333e-05
1480;7.21e-05
1490;6.88667e-05
1500;7.12333e-05
1510;7.54333e-05
1520;6.90667e-05
1530;7.09333e-05
1540;7.38e-05
1550;7.30333e-05
1560;7.70333e-05
1570;7.46333e-05
1580;7.46333e-05
1590;7.37e-05
1600;8.23333e-05
1610;0.0001018
1620;7.99333e-05
1630;7.54333e-05
1640;7.63e-05
1650;8.14333e-05
1660;8.19667e-05
1670;7.82e-05
1680;8.33333e-05
1690;7.75333e-05
1700;8.71333e-05
1710;7.78667e-05
1720;8.80333e-05
1730;8.56667e-05
1740;7.87333e-05
1750;8.31333e-05
1760;9.59333e-05
1770;8.26667e-05
1780;8.37667e-05
1790;8.64e-05
1800;8.74e-05
1810;9.11e-05
1820;8.71e-05
1830;8.29e-05
1840;8.68e-05
1850;8.53667e-05
1860;8.71667e-05
1870;9.41667e-05
1880;8.47e-05
1890;8.91333e-05
1900;8.65e-05
1910;9.22333e-05
1920;8.94e-05
1930;9.62667e-05
1940;8.64667e-05
1950;9.26667e-05
1960;8.9e-05
1970;9.36333e-05
1980;9.63e-05
1990;0.0001036
2000;0.0001139
2010;9.42667e-05
2020;9.22e-05
2030;9.55e-05
2040;9.66667e-05
2050;9.52333e-05
2060;9.65e-05
2070;9.64333e-05
2080;9.75667e-05
2090;9.72667e-05
2100;0.000100667
2110;9.97e-05
2120;9.78667e-05
2130;9.71e-05
2140;0.0001021
2150;9.90333e-05
2160;0.000105467
2170;0.000107233
2180;0.000107167
2190;0.000100633
2200;0.000103933
2210;0.000104467
2220;0.000102333
2230;0.000102933
2240;0.000108067
2250;0.000104367
2260;0.000103533
2270;0.000107567
2280;0.000110567
2290;0.000107767
2300;0.000106733
2310;0.000109533
2320;0.000117167
2330;0.0001378
2340;0.0001077
2350;0.000109033
2360;0.000114533
2370;0.000109867
2380;0.000111533
2390;0.000114333
2400;0.000118933
2410;0.0001189
2420;0.000111533
2430;0.000114767
2440;0.000116033
2450;0.000133
2460;0.000139833
2470;0.000115967
2480;0.000134
2490;0.000132333
2500;0.000115167
2510;0.0001189
2520;0.000132533
2530;0.000133533
2540;0.0001189
2550;0.0001193
2560;0.0001268
2570;0.000122533
2580;0.000123
2590;0.0001246
2600;0.000123767
2610;0.000125
2620;0.000125433
2630;0.000124367
2640;0.0001218
2650;0.000127067
2660;0.0001276
2670;0.000123733
2680;0.0001293
2690;0.000127733
2700;0.000133967
2710;0.000125733
2720;0.0001291
2730;0.0001276
2740;0.000132433
2750;0.000140767
2760;0.000131467
2770;0.000139133
2780;0.0001375
2790;0.0001423
2800;0.000132367
2810;0.0001405
2820;0.000141767
2830;0.000146167
2840;0.000134767
2850;0.000142733
2860;0.000144967
2870;0.0001595
2880;0.000150333
2890;0.0001362
2900;0.0001387
2910;0.0001397
2920;0.000140667
2930;0.000140967
2940;0.0001342
2950;0.0001392
2960;0.0001424
2970;0.000140233
2980;0.000143567
2990;0.000141667
3000;0.000142067
3010;0.0001409
3020;0.000146333
3030;0.0001459
3040;0.000150033
3050;0.000141733
3060;0.0001446
3070;0.0001432
3080;0.0001452
3090;0.000146967
3100;0.0001478
3110;0.000147
3120;0.000148133
3130;0.0001484
3140;0.000150033
3150;0.000147633
3160;0.0001523
3170;0.000146733
3180;0.0001509
3190;0.0001497
3200;0.000154533
3210;0.000152733
3220;0.0001477
3230;0.0001631
3240;0.0001515
3250;0.0001549
3260;0.000152067
3270;0.0001544
3280;0.000157833
3290;0.000152067
3300;0.0001609
3310;0.000152933
3320;0.000174667
3330;0.0001693
3340;0.000157533
3350;0.000168267
3360;0.0001624
3370;0.0001654
3380;0.000158933
3390;0.000169067
3400;0.0001723
3410;0.000162367
3420;0.000176133
3430;0.000167933
3440;0.0001652
3450;0.000173733
3460;0.000165933
3470;0.000175533
3480;0.0001726
3490;0.0001687
3500;0.000176133
3510;0.0001672
3520;0.000177667
3530;0.0001783
3540;0.000166167
3550;0.0001805
3560;0.000214167
3570;0.0002014
3580;0.000183933
3590;0.000176467
3600;0.000182233
3610;0.000185933
3620;0.000170533
3630;0.0001819
3640;0.0001837
3650;0.0001724
3660;0.000185533
3670;0.000179
3680;0.000177433
3690;0.000184967
3700;0.000190733
3710;0.0001757
3720;0.000193867
3730;0.000189267
3740;0.000183267
3750;0.000188467
3760;0.000191067
3770;0.000180033
3780;0.000192833
3790;0.000191233
3800;0.000179833
3810;0.000193033
3820;0.000191267
3830;0.000189033
3840;0.0001942
3850;0.000196367
3860;0.0001915
3870;0.000186767
3880;0.000202167
3890;0.000199533
3900;0.000182333
3910;0.0002061
3920;0.000202
3930;0.000184633
3940;0.0002057
3950;0.0002004
3960;0.000192933
3970;0.000200067
3980;0.000203933
3990;0.000202667
4000;0.000188133
4010;0.0002009
4020;0.0002006
4030;0.000188333
4040;0.000201033
4050;0.0002081
4060;0.000200667
4070;0.000225333
4080;0.000204067
4090;0.000209267
4100;0.000794033
4110;0.000419067
4120;0.0004025
4130;0.000402967
4140;0.0004037
4150;0.0004557
4160;0.000407633
4170;0.000410133
4180;0.000409
4190;0.0004224
4200;0.000411233
4210;0.000412133
4220;0.000412567
4230;0.000462967
4240;0.000417167
4250;0.000530233
4260;0.000431633
4270;0.0004185
4280;0.000419733
4290;0.000420067
4300;0.000438367
4310;0.000466667
4320;0.000532367
4330;0.000423967
4340;0.0004356
4350;0.0004255
4360;0.000428
4370;0.000427467
4380;0.0004766
4390;0.0004446
4400;0.0004305
4410;0.000430867
4420;0.000444667
4430;0.000433733
4440;0.000434467
4450;0.000441833
4460;0.0004797
4470;0.000437333
4480;0.000437433
4490;0.0004495
4500;0.000441133
4510;0.000440633
4520;0.0004416
4530;0.000492867
4540;0.0004432
4550;0.000445467
4560;0.0004457
4570;0.000458967
4580;0.000449033
4590;0.0004476
4600;0.000483933
4610;0.000469167
4620;0.000451567
4630;0.000453167
4640;0.0004672
4650;0.000455033
4660;0.0004569
4670;0.0004573
4680;0.00051
4690;0.000457467
4700;0.0004596
4710;0.000468333
4720;0.0004616
4730;0.000463033
4740;0.000463833
4750;0.000519967
4760;0.000475367
4770;0.000466933
4780;0.000482267
4790;0.0004696
4800;0.0004695
4810;0.000471167
4820;0.000518533
4830;0.000472433
4840;0.000473167
4850;0.000488333
4860;0.000474633
4870;0.0004759
4880;0.000478
4890;0.000526467
4900;0.0004793
4910;0.000480167
4920;0.0004886
4930;0.0004817
4940;0.000483433
4950;0.0004842
4960;0.000538
4970;0.000486567
4980;0.000487833
