Teste Insercao Hashamostra: 30
n; tempo
0;2.66667e-07
10;4.13333e-06
20;9.63333e-06
30;1.57333e-05
40;2.42333e-05
50;2.93e-05
60;3.46667e-05
70;4.42667e-05
80;5.19e-05
90;6.05333e-05
100;8.16e-05
110;9.19e-05
120;0.000107533
130;0.0001141
140;0.0001362
150;0.000147067
160;0.000163
170;0.000188133
180;0.00021
190;0.000214433
200;0.000235733
210;0.000264267
220;0.000287367
230;0.0002974
240;0.000336933
250;0.000365867
260;0.000379133
270;0.000413167
280;0.000558933
290;0.0004613
300;0.0005113
310;0.0005141
320;0.000556833
330;0.0005751
340;0.000604
350;0.000638267
360;0.000677667
370;0.0007301
380;0.000778833
390;0.000886767
400;0.000849567
410;0.000888133
420;0.000941733
430;0.000983833
440;0.00109253
450;0.00105647
460;0.00111317
470;0.0011612
480;0.00118843
490;0.00128337
500;0.00128793
510;0.00132197
520;0.0014245
530;0.0014453
540;0.00149713
550;0.00152623
560;0.00158357
570;0.00171793
580;0.00174703
590;0.00178267
600;0.00184477
610;0.0029131
620;0.00199687
630;0.00197723
640;0.002044
650;0.00215097
660;0.00220113
670;0.0022451
680;0.002331
690;0.0023529
700;0.00410227
710;0.00255363
720;0.00268053
730;0.0026377
740;0.0029859
750;0.00285423
760;0.00291613
770;0.0030449
780;0.00298133
790;0.0049987
800;0.00328163
810;0.00331383
820;0.003373
830;0.00337183
840;0.00352077
850;0.00356037
860;0.0037318
870;0.00374847
880;0.00622957
890;0.00640877
900;0.00412037
910;0.00404363
920;0.00416013
930;0.00422873
940;0.00430497
950;0.00456263
960;0.0045939
970;0.00464353
980;0.00470453
990;0.004941
1000;0.00484667
1010;0.00495013
1020;0.00509017
1030;0.00513923
1040;0.00524377
1050;0.005779
1060;0.00548263
1070;0.00984203
1080;0.0099165
1090;0.0060243
1100;0.00582437
1110;0.0108824
1120;0.0111486
1130;0.00642013
1140;0.0111328
1150;0.00651217
1160;0.00659483
1170;0.00662553
1180;0.0114769
1190;0.0116205
1200;0.0119639
1210;0.00719287
1220;0.00723143
1230;0.00754763
1240;0.0075426
1250;0.00784493
1260;0.00800917
1270;0.0132068
1280;0.0137163
1290;0.0137008
1300;0.0141674
1310;0.0144513
1320;0.00883703
1330;0.0143749
1340;0.01514
1350;0.00888127
1360;0.0150534
1370;0.00940543
1380;0.00904883
1390;0.00917313
1400;0.00966057
1410;0.00944777
1420;0.0163644
1430;0.0169337
1440;0.017063
1450;0.017224
1460;0.017455
1470;0.0107974
1480;0.0176745
1490;0.0107661
1500;0.0106693
1510;0.0187192
1520;0.0191213
1530;0.0194678
1540;0.0198815
1550;0.0196468
1560;0.0199016
1570;0.0202716
1580;0.0121325
1590;0.0120275
1600;0.0123907
1610;0.0208901
1620;0.0215632
1630;0.0223809
1640;0.0220977
1650;0.0132418
1660;0.0221812
1670;0.0135692
1680;0.0227206
1690;0.0233193
1700;0.024073
1710;0.0239248
1720;0.0143624
1730;0.0142279
1740;0.0244119
1750;0.0150113
1760;0.0249657
1770;0.0257132
1780;0.0152776
1790;0.0155116
1800;0.0152348
1810;0.0266366
1820;0.0166644
1830;0.0159712
1840;0.0275586
1850;0.0279806
1860;0.0167355
1870;0.0169832
1880;0.0170567
1890;0.0287516
1900;0.0173591
1910;0.0175457
1920;0.0173685
1930;0.018101
1940;0.017742
1950;0.0182623
1960;0.0181001
1970;0.0314256
1980;0.0319731
1990;0.0322904
2000;0.0195528
2010;0.0326144
2020;0.0198899
2030;0.0331154
2040;0.0343064
2050;0.0202607
2060;0.0340961
2070;0.0213667
2080;0.0350886
2090;0.0212576
2100;0.0354192
2110;0.0366188
2120;0.0367017
2130;0.0370058
2140;0.0223315
2150;0.0220035
2160;0.022385
2170;0.0379693
2180;0.038732
2190;0.0392132
2200;0.0396648
2210;0.0234965
2220;0.0398463
2230;0.0237887
2240;0.0402717
2250;0.0415554
2260;0.0244479
2270;0.0414959
2280;0.042435
2290;0.0426822
2300;0.0432679
2310;0.0437434
2320;0.0257864
2330;0.0435656
2340;0.0452372
2350;0.0268429
2360;0.0446847
2370;0.0458568
2380;0.027055
2390;0.046305
2400;0.0472504
2410;0.0278274
2420;0.0471023
2430;0.0480074
2440;0.0287899
2450;0.0486187
2460;0.0491538
2470;0.0291933
2480;0.050607
2490;0.0508991
2500;0.0297802
2510;0.0506848
2520;0.0520978
2530;0.0304793
2540;0.0516507
2550;0.0527531
2560;0.0315476
2570;0.0308837
2580;0.0540294
2590;0.032001
2600;0.0541835
2610;0.0555159
2620;0.033796
2630;0.0557498
2640;0.0566303
2650;0.0334733
2660;0.0571936
2670;0.0580503
2680;0.0342125
2690;0.057904
2700;0.0351902
2710;0.0341271
2720;0.035433
2730;0.0609682
2740;0.0361052
2750;0.060535
2760;0.0618517
2770;0.0366035
2780;0.0623488
2790;0.0636978
