Teste Insercao Listaamostra: 30
n; tempo
0;2.33333e-07
10;9.66667e-07
20;1.66667e-06
30;2.16667e-06
40;2.2e-06
50;3.3e-06
60;3.73333e-06
70;5.03333e-06
80;4e-06
90;5.36667e-06
100;5.96667e-06
110;7.26667e-06
120;7.3e-06
130;9.53333e-06
140;9.43333e-06
150;1.04667e-05
160;1.17333e-05
170;1.00333e-05
180;1.02333e-05
190;1.48e-05
200;1.23e-05
210;1.29333e-05
220;1.68e-05
230;1.63e-05
240;1.67667e-05
250;1.67667e-05
260;1.71333e-05
270;1.60667e-05
280;1.52333e-05
290;1.63667e-05
300;1.61667e-05
310;1.60667e-05
320;1.69e-05
330;1.7e-05
340;1.76e-05
350;1.82333e-05
360;1.81667e-05
370;1.85333e-05
380;1.93667e-05
390;1.92e-05
400;2.02667e-05
410;2.09e-05
420;2.09e-05
430;2.13333e-05
440;2.18333e-05
450;2.19667e-05
460;2.37e-05
470;2.35e-05
480;2.36333e-05
490;2.37667e-05
500;2.45e-05
510;2.49e-05
520;2.68333e-05
530;2.57e-05
540;2.63667e-05
550;2.66667e-05
560;2.72667e-05
570;2.75333e-05
580;2.79667e-05
590;2.91667e-05
600;2.92333e-05
610;2.92333e-05
620;2.97e-05
630;3.01333e-05
640;3.06667e-05
650;3.18e-05
660;3.23333e-05
670;3.18333e-05
680;3.26e-05
690;3.32e-05
700;3.36667e-05
710;3.37333e-05
720;3.46333e-05
730;3.48333e-05
740;3.47e-05
750;3.58333e-05
760;3.64333e-05
770;3.62e-05
780;3.67333e-05
790;3.87333e-05
800;4.87667e-05
810;5.18e-05
820;5.49333e-05
830;5.27e-05
840;5.41e-05
850;5.31e-05
860;4.86e-05
870;4.86e-05
880;5.3e-05
890;5.71667e-05
900;4.19333e-05
910;4.14e-05
920;4.40333e-05
930;4.2e-05
940;4.62667e-05
950;4.28e-05
960;4.24333e-05
970;4.32333e-05
980;6e-05
990;5.43e-05
1000;5.12333e-05
1010;4.70333e-05
1020;4.87667e-05
1030;5.98e-05
1040;5.24e-05
1050;5.18e-05
1060;4.89667e-05
1070;4.88667e-05
1080;5.47667e-05
1090;6.32e-05
1100;5.35333e-05
1110;5.32667e-05
1120;5.40667e-05
1130;5.7e-05
1140;6.62e-05
1150;5.23e-05
1160;5.54e-05
1170;5.42667e-05
1180;5.69e-05
1190;5.64333e-05
1200;5.65333e-05
1210;5.72667e-05
1220;5.85e-05
1230;5.87333e-05
1240;5.73e-05
1250;6.07667e-05
1260;6.12667e-05
1270;6.02333e-05
1280;6e-05
1290;6.05e-05
1300;6.19e-05
1310;6.20667e-05
1320;6.25667e-05
1330;6.56333e-05
1340;7.87e-05
1350;7.29667e-05
1360;6.11333e-05
1370;6.39333e-05
1380;6.56333e-05
1390;6.29667e-05
1400;6.74333e-05
1410;7.73333e-05
1420;6.76e-05
1430;6.49e-05
1440;6.87e-05
1450;7.78333e-05
1460;6.61667e-05
1470;6.66333e-05
1480;6.65e-05
1490;7.07e-05
1500;7.03e-05
1510;7.06e-05
1520;7.05667e-05
1530;6.84e-05
1540;7.07667e-05
1550;7.09333e-05
1560;6.97e-05
1570;7.02333e-05
1580;7.39333e-05
1590;7.32333e-05
1600;7.18667e-05
1610;7.34667e-05
1620;7.34e-05
1630;7.25333e-05
1640;7.21667e-05
1650;7.94e-05
1660;7.72667e-05
1670;7.49e-05
1680;7.78333e-05
1690;7.84e-05
1700;7.81e-05
1710;7.9e-05
1720;7.97e-05
1730;7.69e-05
1740;7.87e-05
1750;7.96667e-05
1760;8.17e-05
1770;7.97333e-05
1780;8.08667e-05
1790;8.05e-05
1800;8.04e-05
1810;8.33667e-05
1820;8.62e-05
1830;8.43333e-05
1840;8.33667e-05
1850;8.48e-05
1860;8.60333e-05
1870;8.52667e-05
1880;8.51333e-05
1890;9.39667e-05
1900;8.70333e-05
1910;8.9e-05
1920;8.87333e-05
1930;8.98e-05
1940;8.93e-05
1950;9.27667e-05
1960;8.93e-05
1970;9.10333e-05
1980;9.40667e-05
1990;9.19333e-05
2000;9.15333e-05
2010;9.47e-05
2020;9.6e-05
2030;9.33e-05
2040;9.93e-05
2050;9.74333e-05
2060;9.27333e-05
2070;9.50333e-05
2080;9.72333e-05
2090;9.54e-05
2100;9.85e-05
2110;9.87e-05
2120;9.93e-05
2130;9.97667e-05
2140;9.98333e-05
2150;9.73333e-05
2160;9.79e-05
2170;9.94333e-05
2180;0.0001021
2190;0.0001033
2200;0.000102467
2210;0.000102733
2220;0.0001039
2230;0.000104233
2240;0.0001097
2250;9.92333e-05
2260;0.0001004
2270;0.000100033
2280;0.000100267
2290;0.000101267
2300;0.000101967
2310;0.0001027
2320;0.0001027
2330;0.0001033
2340;0.000103467
2350;0.000104133
2360;0.000104167
2370;0.000104633
2380;0.0001053
2390;0.0001062
2400;0.000106167
2410;0.000106667
2420;0.000107567
2430;0.000107567
2440;0.000107633
2450;0.0001086
2460;0.000108967
2470;0.000109633
2480;0.0001106
2490;0.000110167
2500;0.0001145
2510;0.000113633
2520;0.0001157
2530;0.000115067
2540;0.0001154
2550;0.000127067
2560;0.0001149
2570;0.000115
2580;0.0001157
2590;0.0001166
2600;0.0001157
2610;0.000117067
2620;0.000117267
2630;0.000118033
2640;0.000117733
2650;0.000119
2660;0.000118667
2670;0.00012
2680;0.0001202
2690;0.000120633
2700;0.000121033
2710;0.000122033
2720;0.0001225
2730;0.000122733
2740;0.000122067
2750;0.000122733
2760;0.000123467
2770;0.0001242
2780;0.0001249
2790;0.0001247
2800;0.0001248
2810;0.000125633
2820;0.000126333
2830;0.000135867
2840;0.0001267
2850;0.0001288
2860;0.0001277
2870;0.000128367
2880;0.0001283
2890;0.000128867
2900;0.000129967
2910;0.000129833
2920;0.0001305
2930;0.0001311
2940;0.000132833
2950;0.000132233
2960;0.0001326
2970;0.000132467
2980;0.000132867
2990;0.0001342
3000;0.0001347
3010;0.0001346
3020;0.000135467
3030;0.000135833
3040;0.000135233
3050;0.000137
3060;0.000136733
3070;0.000138067
3080;0.000137367
3090;0.000137833
3100;0.000138467
3110;0.000139567
3120;0.0001391
3130;0.0001402
3140;0.0001399
3150;0.0001409
3160;0.000141
3170;0.000141867
3180;0.000152333
3190;0.000144333
3200;0.000152767
3210;0.000145233
3220;0.000154033
3230;0.000147133
3240;0.000153567
3250;0.000151233
3260;0.000147833
3270;0.000176833
3280;0.000150167
