Teste Remocao Hashamostra: 30
n; tempo
0;3e-07
10;6.36667e-06
20;1.71333e-05
30;3.13333e-05
40;5.50667e-05
50;6.56e-05
60;7.63333e-05
70;9.73e-05
80;0.0001157
90;0.000132867
100;0.0001797
110;0.0002014
120;0.000230133
130;0.000249167
140;0.000300533
150;0.000319967
160;0.000353033
170;0.000413333
180;0.0004582
190;0.000470367
200;0.000519533
210;0.0005869
220;0.0006332
230;0.0006606
240;0.000743067
250;0.0008056
260;0.0008298
270;0.000924267
280;0.00124433
290;0.00109623
300;0.00112647
310;0.00113223
320;0.00123137
330;0.0012686
340;0.00134107
350;0.00142267
360;0.00149447
370;0.00163917
380;0.00167213
390;0.00183953
400;0.00187107
410;0.00197363
420;0.00207823
430;0.0023863
440;0.00249837
450;0.00235723
460;0.0024588
470;0.0025626
480;0.00262277
490;0.00282627
500;0.00283823
510;0.00293127
520;0.00317417
530;0.00320613
540;0.00332717
550;0.00338143
560;0.00351143
570;0.0037106
580;0.00381393
590;0.00386843
600;0.00590627
610;0.00605653
620;0.00440443
630;0.00437997
640;0.00451113
650;0.0047379
660;0.00486713
670;0.00498233
680;0.00515787
690;0.00521393
700;0.008352
710;0.0055984
720;0.00591833
730;0.00580967
740;0.00657683
750;0.006236
760;0.0063973
770;0.0066163
780;0.00660157
790;0.0101567
800;0.00721347
810;0.0072928
820;0.00744707
830;0.00742677
840;0.0077332
850;0.0078494
860;0.00817237
870;0.00827657
880;0.0125887
890;0.0129106
900;0.00906123
910;0.00893843
920;0.00920203
930;0.00930367
940;0.00948897
950;0.0100698
960;0.0100659
970;0.0102246
980;0.0103974
990;0.0108269
1000;0.0160513
1010;0.0111105
1020;0.0112353
1030;0.0113347
1040;0.0115535
1050;0.0126752
1060;0.0121356
1070;0.0185489
1080;0.0189306
1090;0.0132064
1100;0.0128738
1110;0.0213122
1120;0.0211205
1130;0.0139393
1140;0.0210935
1150;0.0142738
1160;0.0144579
1170;0.0146172
1180;0.0225407
1190;0.0229377
1200;0.0235654
1210;0.0157774
1220;0.0159223
1230;0.0161191
1240;0.0165462
1250;0.0171992
1260;0.0175462
1270;0.0260579
1280;0.0269881
1290;0.0269406
1300;0.0276381
1310;0.0280831
1320;0.0193465
1330;0.0282535
1340;0.0290501
1350;0.0197577
1360;0.0297892
1370;0.0207782
1380;0.0200944
1390;0.0203685
1400;0.0214752
1410;0.020958
1420;0.0213537
1430;0.021698
1440;0.0219417
1450;0.0334913
1460;0.0343242
1470;0.0238435
1480;0.0348634
1490;0.0357189
1500;0.0240387
