Teste Remocao Listaamostra: 30
n; tempo
0;3.66667e-07
10;2.33333e-06
20;3.7e-06
30;5.36667e-06
40;5.06667e-06
50;8.26667e-06
60;1.01e-05
70;1.15e-05
80;1.19e-05
90;1.31667e-05
100;1.32667e-05
110;1.62e-05
120;1.75e-05
130;1.89667e-05
140;2.18667e-05
150;2.32333e-05
160;2.15333e-05
170;2.07667e-05
180;2.49333e-05
190;2.34e-05
200;2.99333e-05
210;2.92667e-05
220;2.47e-05
230;2.92333e-05
240;3.09e-05
250;2.70333e-05
260;3.22e-05
270;3.07e-05
280;3.19333e-05
290;3.3e-05
300;3.23333e-05
310;3.73667e-05
320;3.63e-05
330;3.73667e-05
340;3.81e-05
350;3.92e-05
360;4.01333e-05
370;4.11e-05
380;4.11667e-05
390;4.30667e-05
400;4.41e-05
410;4.46e-05
420;4.64667e-05
430;4.71333e-05
440;4.82e-05
450;4.87333e-05
460;4.98e-05
470;5.07e-05
480;5.26e-05
490;5.28e-05
500;5.27e-05
510;5e-05
520;6.33667e-05
530;6.42667e-05
540;6.14667e-05
550;6.06333e-05
560;6.07333e-05
570;6.28333e-05
580;6.38e-05
590;6.35667e-05
600;6.58333e-05
610;6.62333e-05
620;6.48e-05
630;6.60667e-05
640;6.59e-05
650;6.73333e-05
660;6.89e-05
670;6.92667e-05
680;6.99667e-05
690;7.10333e-05
700;7.24333e-05
710;7.33e-05
720;7.31667e-05
730;7.51e-05
740;7.64667e-05
750;7.67333e-05
760;7.78333e-05
770;8.01e-05
780;8.05333e-05
790;8.02333e-05
800;8.23e-05
810;8.31333e-05
820;8.38e-05
830;8.47333e-05
840;8.99667e-05
850;8.97667e-05
860;8.96333e-05
870;9.14333e-05
880;9.12667e-05
890;9e-05
900;9.14e-05
910;9.22333e-05
920;9.19e-05
930;9.29333e-05
940;9.51667e-05
950;9.52667e-05
960;9.67e-05
970;9.69333e-05
980;9.79333e-05
990;9.92333e-05
1000;0.000100667
1010;0.000101467
1020;0.000101667
1030;0.0001028
1040;0.000104367
1050;0.000105433
1060;0.0001056
1070;0.000106333
1080;0.000107833
1090;0.0001084
1100;0.000110633
1110;0.000110933
1120;0.0001123
1130;0.000114767
1140;0.0001133
1150;0.000114967
1160;0.0001163
1170;0.000118033
1180;0.000118033
1190;0.000118833
1200;0.0001202
1210;0.000123533
1220;0.000141367
1230;0.000127567
1240;0.000144333
1250;0.000127667
1260;0.0001446
1270;0.000134367
1280;0.0001486
1290;0.000132767
1300;0.000149433
1310;0.000136033
1320;0.000151933
1330;0.000137333
1340;0.000156167
1350;0.000138533
1360;0.0001546
1370;0.000139767
1380;0.0001618
1390;0.000141567
1400;0.0001601
1410;0.000156167
1420;0.000156633
1430;0.000162033
1440;0.000145733
1450;0.000164633
1460;0.0001485
1470;0.000171933
1480;0.0001688
1490;0.000159767
1500;0.000157033
1510;0.0001524
1520;0.0001534
1530;0.000187733
1540;0.000192533
1550;0.000226133
1560;0.000209567
1570;0.000181733
1580;0.000161767
1590;0.0001626
1600;0.000164967
1610;0.000162567
1620;0.000162933
1630;0.0001663
1640;0.000167333
1650;0.0001688
1660;0.000170833
1670;0.0001667
1680;0.0001758
1690;0.000171467
1700;0.000178867
1710;0.000191867
1720;0.0001815
1730;0.0001863
1740;0.0001901
1750;0.000177733
1760;0.000188067
1770;0.000194933
1780;0.000181233
1790;0.000191267
1800;0.0001951
1810;0.000185433
1820;0.000192467
1830;0.000198367
1840;0.000200267
1850;0.000184
1860;0.000205067
1870;0.000205633
1880;0.0001862
1890;0.000205667
1900;0.000205967
1910;0.000206733
1920;0.000188933
1930;0.000205867
1940;0.000213033
1950;0.000206
1960;0.000197467
1970;0.0002124
1980;0.000214333
1990;0.000203067
2000;0.000208533
2010;0.000217033
2020;0.000220867
2030;0.000207633
2040;0.000209533
2050;0.0002203
2060;0.0002222
2070;0.0002217
2080;0.0002044
2090;0.000225433
2100;0.000227667
2110;0.000228533
2120;0.000229733
2130;0.000209433
2140;0.000230767
2150;0.0002316
2160;0.000231467
2170;0.0002356
2180;0.000226767
2190;0.000225767
2200;0.000235367
2210;0.000235067
2220;0.000237
2230;0.000237733
2240;0.000237
2250;0.0002276
2260;0.000238533
2270;0.000241467
2280;0.0002428
2290;0.0002439
2300;0.000244667
2310;0.0002483
2320;0.000241733
2330;0.0002344
2340;0.0002495
2350;0.000251967
2360;0.0002561
2370;0.0002572
2380;0.000261267
2390;0.000256767
2400;0.000257667
2410;0.0002566
2420;0.0002563
2430;0.000255967
2440;0.0002537
2450;0.000254733
2460;0.0002542
2470;0.0002616
2480;0.000262667
2490;0.000262467
2500;0.000265733
2510;0.0002668
2520;0.0002679
2530;0.0002654
2540;0.000267367
2550;0.000269267
2560;0.0002703
2570;0.000271767
2580;0.000272433
2590;0.000272733
2600;0.000275233
2610;0.0002746
2620;0.000274867
2630;0.0002772
2640;0.0002774
2650;0.0002785
2660;0.0002786
2670;0.000281133
2680;0.000280767
2690;0.000284933
2700;0.000286333
2710;0.000285633
2720;0.000284667
2730;0.000286
2740;0.000287733
2750;0.000292633
2760;0.000289533
2770;0.0003268
2780;0.0003478
2790;0.0003051
2800;0.000285467
2810;0.0002866
2820;0.000287767
2830;0.000281167
2840;0.000286067
2850;0.000283567
2860;0.000290633
2870;0.000288033
