Teste Busca Hashamostra: 30
n; tempo
0;4.66667e-07
10;3.5e-06
20;8.3e-06
30;1.50667e-05
40;2.31333e-05
50;2.56e-05
60;3.04667e-05
70;4.01e-05
80;4.59667e-05
90;5.75333e-05
100;7.78e-05
110;9.02667e-05
120;0.0001117
130;0.000122033
140;0.0001323
150;0.0001682
160;0.000259833
170;0.000228133
180;0.0002022
190;0.000205867
200;0.000294933
210;0.000268433
220;0.0002944
230;0.0004079
240;0.000328133
250;0.000471533
260;0.0004916
270;0.000408067
280;0.000567867
290;0.0004456
300;0.000680333
310;0.000702467
320;0.000545433
330;0.000786333
340;0.000597533
350;0.000878533
360;0.000666467
370;0.00100197
380;0.000736267
390;0.000814633
400;0.0012672
410;0.000893633
420;0.00134717
430;0.00140423
440;0.00108903
450;0.00150727
460;0.00162637
470;0.00116223
480;0.0017223
490;0.0018671
500;0.00128463
510;0.00216037
520;0.0021832
530;0.0014589
540;0.00150367
550;0.00229337
560;0.002425
570;0.00256777
580;0.00177137
590;0.00179507
600;0.00181803
610;0.0028595
620;0.00311187
630;0.00315077
640;0.00205653
650;0.0033554
660;0.00221777
670;0.00222847
680;0.00229913
690;0.00232457
700;0.00401647
710;0.0025163
720;0.0027093
730;0.00417237
740;0.00299507
750;0.0044852
760;0.0046796
770;0.00297213
780;0.0029548
790;0.0049765
800;0.0052291
810;0.0032777
820;0.00334083
830;0.0033247
840;0.00348397
850;0.00358957
860;0.00361047
870;0.00606857
880;0.0062976
890;0.0063872
900;0.00408043
910;0.0040004
920;0.00681243
930;0.00702197
940;0.00435603
950;0.0045177
960;0.00454157
970;0.00458553
980;0.0077258
990;0.0048751
