Teste Busca Listaamostra: 30
n; tempo
0;6.66667e-07
10;1.83333e-06
20;1.63333e-06
30;3.3e-06
40;4.13333e-06
50;5.03333e-06
60;5.1e-06
70;6.83333e-06
80;8.76667e-06
90;8.8e-06
100;9.66667e-06
110;1.06e-05
120;1.12667e-05
130;1.24333e-05
140;1.25667e-05
150;1.35667e-05
160;1.36667e-05
170;1.53333e-05
180;1.46e-05
190;1.51667e-05
200;1.31e-05
210;1.52667e-05
220;1.38e-05
230;1.69333e-05
240;1.64e-05
250;1.9e-05
260;1.6e-05
270;1.34667e-05
280;1.57e-05
290;1.31333e-05
300;1.40333e-05
310;1.43667e-05
320;1.50333e-05
330;1.57e-05
340;1.58667e-05
350;1.62667e-05
360;1.67333e-05
370;1.71667e-05
380;1.78333e-05
390;1.79333e-05
400;2.12333e-05
410;2.11e-05
420;2.24667e-05
430;2.19333e-05
440;2.04667e-05
450;2.07667e-05
460;2.09667e-05
470;2.46e-05
480;2.99667e-05
490;3.09667e-05
500;3.42e-05
510;3.46e-05
520;3.52e-05
530;3.59667e-05
540;3.7e-05
550;3.73667e-05
560;3.86333e-05
570;3.79333e-05
580;3.76333e-05
590;2.8e-05
600;2.56667e-05
610;2.60667e-05
620;2.70333e-05
630;2.69667e-05
640;2.72333e-05
650;2.79e-05
660;2.82667e-05
670;2.92e-05
680;2.94333e-05
690;3.04667e-05
700;3.04667e-05
710;3.10333e-05
720;3.09333e-05
730;3.13333e-05
740;3.19667e-05
750;3.23667e-05
760;3.28667e-05
770;3.4e-05
780;3.51667e-05
790;3.42333e-05
800;3.45e-05
810;3.52667e-05
820;4.14667e-05
830;3.97e-05
840;4.32667e-05
850;4.26667e-05
860;4.05333e-05
870;4.11667e-05
880;4.04333e-05
890;4.11333e-05
900;4.16333e-05
910;4.26667e-05
920;4.27333e-05
930;4.39333e-05
940;4.41e-05
950;5.65667e-05
960;5.09333e-05
970;5.96333e-05
980;5.5e-05
990;4.65667e-05
