Teste Insercao Hashamostra: 30
n; tempo
0;7e-07
10;5.76667e-06
20;1.55667e-05
30;2.61667e-05
40;3.57e-05
50;4.24333e-05
60;4.45667e-05
70;4.99e-05
80;5.50667e-05
90;6.42e-05
100;7.62667e-05
110;9.22667e-05
120;0.000108933
130;0.000129667
140;0.0001397
150;0.000138567
160;0.000188467
170;0.000229033
180;0.000200133
190;0.000204067
200;0.000300567
210;0.000286633
220;0.000289733
230;0.000384333
240;0.000332933
250;0.0004745
260;0.000496233
270;0.000431233
280;0.000570533
290;0.000656267
300;0.000700267
310;0.000708233
320;0.000569467
330;0.0008095
340;0.000607067
350;0.000886567
360;0.0006844
370;0.00100253
380;0.000743533
390;0.000817467
400;0.00121573
410;0.0008962
420;0.00133387
430;0.00139743
440;0.00109337
450;0.00151103
460;0.00111687
470;0.00113797
480;0.0017388
490;0.00126267
500;0.0012571
510;0.00203223
520;0.0021745
530;0.00145957
540;0.0014834
550;0.00231693
560;0.00242513
570;0.0025818
580;0.0017374
590;0.00182727
600;0.00184853
610;0.00288577
620;0.0030924
630;0.00314437
640;0.00212363
650;0.00334387
660;0.0022162
670;0.00222613
680;0.00229967
690;0.00232513
700;0.00401507
710;0.0025211
720;0.0027128
730;0.0041751
740;0.003002
750;0.00450197
760;0.0046688
770;0.0029741
780;0.0029533
790;0.0049771
800;0.00521873
810;0.00327977
820;0.0033395
830;0.0033261
840;0.00348333
850;0.00358957
860;0.00361833
870;0.00607163
880;0.00630313
890;0.00639927
900;0.0040777
910;0.00400157
920;0.0068188
930;0.00699763
940;0.0043552
950;0.00454103
960;0.004539
970;0.00459143
980;0.00465933
990;0.0048778
