Teste Insercao Listaamostra: 30
n; tempo
0;3.66667e-07
10;1.13333e-06
20;1.7e-06
30;2.56667e-06
40;2.53333e-06
50;2.86667e-06
60;3.43333e-06
70;4.03333e-06
80;5.4e-06
90;5.6e-06
100;6.23333e-06
110;7.03333e-06
120;9.53333e-06
130;1.10333e-05
140;1.17333e-05
150;1.26e-05
160;1.06333e-05
170;9.6e-06
180;1.05e-05
190;1.11e-05
200;1.20667e-05
210;1.21e-05
220;1.23667e-05
230;1.28667e-05
240;1.42333e-05
250;1.60667e-05
260;1.25333e-05
270;1.20333e-05
280;1.23333e-05
290;1.38e-05
300;1.35333e-05
310;1.39333e-05
320;1.68e-05
330;2.22333e-05
340;2.37333e-05
350;1.87e-05
360;2.54667e-05
370;2.41333e-05
380;2.48667e-05
390;2.59667e-05
400;2.62667e-05
410;2.57333e-05
420;2.76667e-05
430;2.94333e-05
440;2.95333e-05
450;2.92333e-05
460;2.49667e-05
470;2.41667e-05
480;3.18667e-05
490;3.16e-05
500;3.28333e-05
510;3.31667e-05
520;2.91667e-05
530;2.88e-05
540;2.76667e-05
550;2.92667e-05
560;3.47e-05
570;3.28333e-05
580;3.14667e-05
590;3.21333e-05
600;2.86e-05
610;3.08e-05
620;3.38e-05
630;3.52e-05
640;3.91333e-05
650;4.35e-05
660;3.17e-05
670;2.94e-05
680;3.03333e-05
690;2.99e-05
700;3.04333e-05
710;3.13667e-05
720;4.36333e-05
730;3.95e-05
740;3.25333e-05
750;3.25667e-05
760;3.36333e-05
770;3.39e-05
780;3.4e-05
790;4.03333e-05
800;4.99e-05
810;3.55667e-05
820;3.58333e-05
830;3.66e-05
840;3.68667e-05
850;3.75667e-05
860;5.22667e-05
870;4.48333e-05
880;4.13e-05
890;4.60667e-05
900;3.95333e-05
910;4.17333e-05
920;4.21333e-05
930;4.03333e-05
940;4.66667e-05
950;4.54667e-05
960;4.63667e-05
970;4.48e-05
980;4.82333e-05
990;4.73667e-05
