Teste Remocao Hashamostra: 30
n; tempo
0;4e-07
10;3.86667e-06
20;1.13667e-05
30;1.59333e-05
40;2.42333e-05
50;3.19e-05
60;5.42333e-05
70;4.13e-05
80;4.67e-05
90;5.5e-05
100;7.55667e-05
110;8.97333e-05
120;0.000114067
130;0.0001213
140;0.000129033
150;0.000160933
160;0.0002662
170;0.0002238
180;0.0001997
190;0.000203167
200;0.0003118
210;0.000267133
220;0.000343333
230;0.000431233
240;0.000337933
250;0.000477867
260;0.000498067
270;0.000412033
280;0.000596167
290;0.000630767
300;0.000690133
310;0.000698967
320;0.0005459
330;0.000809133
340;0.000597767
350;0.000892467
360;0.000670367
370;0.00105407
380;0.000740733
390;0.0008155
400;0.001218
410;0.000887267
420;0.0013202
430;0.00142273
440;0.00108803
450;0.00152457
460;0.0011243
470;0.00114777
480;0.00172963
490;0.00129947
500;0.00127547
510;0.00201693
520;0.00212867
530;0.00146207
540;0.0015076
550;0.00229983
560;0.00241877
570;0.00276657
580;0.00176103
590;0.0017638
600;0.00182317
610;0.00287497
620;0.0030774
630;0.0031119
640;0.0020671
650;0.00334063
660;0.00222193
670;0.00223197
680;0.00230527
690;0.00233683
700;0.00402227
710;0.002522
720;0.00271377
730;0.00417473
740;0.00299993
750;0.00450643
760;0.0046687
770;0.0029848
780;0.0029557
790;0.004973
800;0.00522887
810;0.0032837
820;0.0033455
830;0.00333173
840;0.00348477
850;0.00360123
860;0.0036262
870;0.00607987
880;0.00630217
890;0.0063932
900;0.00409247
910;0.00401143
920;0.0068137
930;0.00700723
940;0.00436497
950;0.00452627
960;0.00455017
970;0.00459153
980;0.0046666
990;0.00488743
