Teste Remocao Listaamostra: 30
n; tempo
0;6e-07
10;1.4e-06
20;1.73333e-06
30;2.56667e-06
40;3.33333e-06
50;5.4e-06
60;3.76667e-06
70;5.43333e-06
80;5.16667e-06
90;8.06667e-06
100;8.36667e-06
110;8.03333e-06
120;9.73333e-06
130;1.05667e-05
140;1.24667e-05
150;1.33e-05
160;1.41e-05
170;1.29667e-05
180;1.38667e-05
190;1.62667e-05
200;1.59333e-05
210;1.75667e-05
220;1.74667e-05
230;1.37667e-05
240;1.58e-05
250;1.95e-05
260;2.16333e-05
270;1.98667e-05
280;2.17333e-05
290;2.43333e-05
300;1.7e-05
310;1.39667e-05
320;1.56667e-05
330;1.76667e-05
340;1.59333e-05
350;1.62e-05
360;1.70667e-05
370;1.87333e-05
380;1.73333e-05
390;1.86333e-05
400;2.00667e-05
410;1.88667e-05
420;2.4e-05
430;2.47667e-05
440;2.04333e-05
450;2.19667e-05
460;2.68333e-05
470;3.26667e-05
480;3.18e-05
490;3.33667e-05
500;3.41333e-05
510;3.49e-05
520;3.52e-05
530;3.44667e-05
540;3.64333e-05
550;3.72e-05
560;3.6e-05
570;3.80333e-05
580;3.69e-05
590;2.84333e-05
600;2.87333e-05
610;2.89333e-05
620;2.71333e-05
630;2.8e-05
640;2.87e-05
650;2.89e-05
660;2.94333e-05
670;3.05333e-05
680;3.04e-05
690;4.05333e-05
700;3.58333e-05
710;3.31667e-05
720;3.21667e-05
730;3.28e-05
740;3.28e-05
750;3.33667e-05
760;3.82333e-05
770;3.76333e-05
780;3.44333e-05
790;3.53667e-05
800;3.57333e-05
810;3.61e-05
820;3.66e-05
830;3.70667e-05
840;4.63333e-05
850;3.84667e-05
860;3.85667e-05
870;3.87e-05
880;3.84333e-05
890;3.95333e-05
900;4.6e-05
910;4.15333e-05
920;4.03667e-05
930;4.17667e-05
940;5.95333e-05
950;6.00333e-05
960;5.83667e-05
970;5.55e-05
980;5.21667e-05
990;5.03667e-05
