01 - 3271.stp
Semente;Guloso;;;Randomizado;;;Adaptado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks
1;3710;0.002;2;3515;0.02;20;3296;0.605;605;3401;0.611;611
7;3710;0.001;1;3491;0.016;16;3396;0.65;650;3293;0.691;691
13;3710;0.001;1;3491;0.017;17;3296;0.624;624;3285;0.603;603
19;3710;0.001;1;3491;0.018;18;3400;0.601;601;3398;0.617;617
25;3710;0.001;1;3491;0.016;16;3296;0.621;621;3296;0.591;591
2;3710;0.001;1;3515;0.032;32;3396;0.593;593;3404;0.551;551
8;3710;0;0;3491;0.03;30;3407;0.611;611;3323;0.664;664
14;3710;0.001;1;3491;0.02;20;3398;0.635;635;3297;0.544;544
20;3710;0;0;3491;0.015;15;3403;0.578;578;3293;0.588;588
26;3710;0.001;1;3491;0.015;15;3500;0.613;613;3285;0.532;532
3;3710;0.001;1;3515;0.015;15;3414;0.657;657;3295;0.527;527
9;3710;0.001;1;3491;0.024;24;3302;0.642;642;3295;0.594;594
15;3710;0.001;1;3491;0.023;23;3414;0.624;624;3296;0.543;543
21;3710;0.001;1;3491;0.018;18;3400;0.61;610;3394;0.608;608
27;3710;0;0;3491;0.018;18;3388;0.616;616;3300;0.523;523
4;3710;0.001;1;3491;0.023;23;3390;0.586;586;3295;0.549;549
10;3710;0.006;6;3491;0.031;31;3408;0.629;629;3392;0.614;614
16;3710;0;0;3491;0.03;30;3390;0.638;638;3390;0.57;570
22;3710;0.005;5;3491;0.019;19;3392;0.587;587;3394;0.611;611
28;3710;0.004;4;3491;0.015;15;3405;0.643;643;3399;0.556;556
5;3710;0.003;3;3491;0.023;23;3395;0.592;592;3296;0.549;549
11;3710;0.004;4;3491;0.023;23;3302;0.601;601;3285;0.558;558
17;3710;0.001;1;3491;0.017;17;3295;0.607;607;3392;0.542;542
23;3710;0.001;1;3491;0.03;30;3302;0.605;605;3285;0.669;669
29;3710;0.002;2;3491;0.021;21;3293;0.596;596;3403;0.525;525
6;3710;0.001;1;3491;0.023;23;3502;0.602;602;3300;0.545;545
12;3710;0.001;1;3491;0.039;39;3302;0.604;604;3293;0.602;602
18;3710;0.001;1;3491;0.029;29;3285;0.589;589;3285;0.522;522
24;3710;0.004;4;3491;0.017;17;3405;0.58;580;3394;0.576;576
30;3710;0.001;1;3491;0.017;17;3285;0.618;618;3402;0.542;542
