03 - 2338.stp
Semente;Guloso;;;Randomizado;;;Reativo
;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;Solucao;Tempo(s);Clocks;
1;2868;0.001;1;2574;0.022;22;2459;0.896;896;
7;2868;0.001;1;2580;0.024;24;2448;0.844;844;
13;2868;0.001;1;2580;0.027;27;2460;0.763;763;
19;2868;0.001;1;2580;0.024;24;2458;0.775;775;
25;2868;0.001;1;2768;0.025;25;2369;0.91;910;
2;2868;0.003;3;2574;0.026;26;2369;0.712;712;
8;2868;0.001;1;2580;0.026;26;2369;0.779;779;
14;2868;0.001;1;2580;0.022;22;2349;0.806;806;
20;2868;0.001;1;2580;0.023;23;2453;0.759;759;
26;2868;0.001;1;2793;0.028;28;2448;0.714;714;
3;2868;0.001;1;2574;0.027;27;2454;0.735;735;
9;2868;0.001;1;2580;0.027;27;2453;0.826;826;
15;2868;0.001;1;2580;0.024;24;2459;0.772;772;
21;2868;0.001;1;2580;0.025;25;2453;0.782;782;
27;2868;0.001;1;2793;0.027;27;2450;0.726;726;
4;2868;0.001;1;2574;0.021;21;2448;0.74;740;
10;2868;0.001;1;2580;0.026;26;2459;0.783;783;
16;2868;0.001;1;2580;0.029;29;2461;0.849;849;
22;2868;0.001;1;2580;0.023;23;2369;0.748;748;
28;2868;0.002;2;2793;0.022;22;2369;0.813;813;
5;2868;0.001;1;2574;0.024;24;2456;0.718;718;
11;2868;0.001;1;2580;0.025;25;2460;0.8;800;
17;2868;0.001;1;2580;0.025;25;2455;0.819;819;
23;2868;0.001;1;2580;0.024;24;2461;0.778;778;
29;2868;0.001;1;2793;0.025;25;2453;0.743;743;
6;2868;0.001;1;2580;0.027;27;2349;0.713;713;
12;2868;0.001;1;2580;0.026;26;2369;0.779;779;
18;2868;0;0;2580;0.025;25;2454;0.798;798;
24;2868;0.001;1;2672;0.025;25;2453;0.738;738;
30;2868;0.002;2;2778;0.026;26;2450;0.736;736;

